I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,1,12,,L,5.39,1.17,UP,,1416446820000,36.48,.81,2.87,31.09,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,1,12,,R,6.25,1.18,UP,,1416446820000,40.12,-1.13,-3.31,33.87,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,2,11,,L,21.56,1.59,UP,,1416446820000,57.99,.48,2.6,36.43,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,2,11,,R,14.17,1.39,UP,,1416446820000,50.47,-.32,3.09,36.3,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,3,10,,L,11.99,1.33,UP,,1416446820000,48.32,.14,-3.02,36.33,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,3,10,,R,4.41,1.12,UP,,1416446820000,40.71,-.26,-3.42,36.3,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,4,9,,L,6.38,1.19,UP,,1416446820000,40.64,-.52,-2.42,34.26,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,4,9,,R,7.89,1.21,UP,,1416446820000,45.56,.65,3.75,37.67,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,5,8,,L,7.08,1.19,UP,,1416446820000,43.66,.02,-2.09,36.58,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,5,8,,R,6.69,1.17,UP,,1416446820000,45.67,.45,3.06,38.98,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,6,7,,L,6.93,1.22,UP,,1416446820000,38.5,.24,2.95,31.57,19-NOV-2014:20:27:00,
I,N, 13781407,158,,N,41,898304485,462063,9762,D,D127,F,R,6,2,2,212,,6,7,,R,5.44,1.16,UP,,1416446820000,40.21,-.95,-2.91,34.77,19-NOV-2014:20:27:00,
I,N, 13781409,36,,W,27,898304666,472732,9107,D,D127,F,B,6,2,3,194.3,,1,,B,L,3.54,1.12,UP,,1416440400000,34.15,.56,1.87,30.61,19-NOV-2014:18:40:00,
I,N, 13781409,36,,W,27,898304666,472732,9107,D,D127,F,B,6,2,3,194.3,,1,,B,R,3.29,1.1,UP,,1416440400000,36.93,.2,1.57,33.64,19-NOV-2014:18:40:00,
I,N, 13781409,36,,W,27,898304666,472732,9107,D,D127,F,B,6,2,3,194.3,,2,,B,L,6.84,1.21,UP,,1416440400000,40.09,.09,1.48,33.25,19-NOV-2014:18:40:00,
I,N, 13781409,36,,W,27,898304666,472732,9107,D,D127,F,B,6,2,3,194.3,,2,,B,R,6.69,1.21,UP,,1416440400000,38.56,-1.06,-2.08,31.87,19-NOV-2014:18:40:00,
